self_id,id1,id2,id3,id4,id5,id6,id7,id8
20962,27799,11899,75788,75787,13349,22697,26420,638
20986,32179,36470,22966,49075,36484,20986,38540,36609
21034,26394,3810,56259,510,60686,21800,515,1121
21110,73769,19674,33783,75788,75787,11899,29198,75464
21191,14396,21694,11897,14394,25952,14397,44686,55353
21217,42273,31790,38261,18968,16818,41557,59439,18898
21246,18604,19551,17072,23563,25422,21824,38213,19869
21436,17183,17655,44279,510,13816,10001,13020,11900
21483,10789,36035,53449,36037,51793,51814,53678,36039
21521,18310,23282,44429,71766,56733,23315,33783,51898
21556,43108,23599,32084,25252,20367,19898,38552,18533
21607,31630,38865,54216,42904,14397,20199,55353,25952
21652,27588,27590,11789,25812,18449,11958,18448,18450
21688,17094,25656,67505,66478,20575,51483,47541,20893
21694,14396,21191,11897,14394,8999,24233,30372,11493
21704,54731,66349,76996,74843,72355,54216,29145,68385
21751,26393,46317,8679,53468,9906,16115,436,4073
21753,76694,17536,17070,17537,19337,76560,49076,23563
21762,17557,17537,19337,12181,967,62419,41816,965
21772,10645,21772,8717,19558,6150,1492,10656,2725
21800,510,8424,454,16083,48526,21436,13816,41136
21822,19960,11757,17538,35036,34146,16074,24905,7348
21824,17072,25422,19869,30247,23563,6761,17070,31596
22169,26350,27488,22169,20022,26007,28668,25214,19123
22174,28430,28428,28431,28432,28427,22962,24082,22591
22213,20367,32084,25252,19898,16893,5617,27753,25251
22272,5360,68668,55950,69087,65103,17499,15203,39606
22450,39299,7675,7672,49418,42030,42534,21762,17557
22464,31426,31427,7842,27588,42273,7815,18903,18898
22590,22591,64330,28373,72008,64800,73843,11664,11635
22591,22590,28430,28431,28428,28432,22697,30618,28427
22604,70732,63986,51749,57792,69069,63117,69242,75063
22608,41294,22616,51248,32844,51404,5916,1414,54731
22609,32179,36470,22966,49075,36484,20986,38540,36609
22615,37237,23315,19274,37175,22958,12655,18294,18310
22616,22817,36470,53959,38540,20986,32368,49075,42953
22622,20860,29227,5658,23616,3806,18713,5659,20859
22658,19869,17072,21824,23563,25422,30247,6761,17070
22697,3537,5256,17285,6353,2776,16417,638,511
22808,22966,13241,20986,22609,38233,38540,34738,49075
22817,22616,32368,36470,38233,22609,22966,13241,36484
22907,38552,53158,18533,30372,8590,48167,29727,27596
22958,37237,22615,30733,37175,11709,12197,19123,1557
22960,50586,67406,65402,64924,73234,73237,73241,73235
22962,55030,28096,47986,69141,51874,42830,31948,50215
22966,32179,36470,22966,49075,36484,20986,38540,36609
22968,7811,11493,963,966,1550,1622,1324,727
23013,23014,23015,55353,25952,42904,14397,20199,59827
23014,23013,23015,33869,31705,41881,1621,3939,1018
23015,23014,23013,31705,1621,3939,1018,3606,20470
23118,7694,1018,966,727,24905,16074,7463,5441
23282,41767,46078,34416,33698,42331,62689,42195,31080
23290,75708,23329,35881,33880,52352,69515,51792,46242
23315,19274,22615,12655,18294,18310,23282,8310,66423
23327,23329,23328,23282,53909,53959,54000,53906,54060
23328,23329,20243,36661,23327,31487,15139,15131,15140
23329,23328,23327,15140,23282,23290,24989,33880,11328
23406,20901,45887,65639,48932,60224,45347,45885,64082
23474,16115,16073,17538,4073,16074,37403,24905,19960
23563,17072,25422,19869,30247,23563,6761,17070,31596
23568,25103,13545,11493,7167,1542,1525,966,727
23599,37619,23660,33445,26909,45628,27785,32283,24244
23616,22622,1681,38196,34637,29227,39360,20860,38200
23660,33445,23660,23599,19274,23729,17160,14348,11963
23668,44686,42904,25952,59827,20199,55353,14397,18573
23669,20901,17285,13020,23406,13816,11900,514,7731
23729,37619,23660,33445,34326,23599,18293,19274,71157
